"NICODE","INSTCODE","ACCENUMB","COLLNUMB","COLLCODE","GENUS","SPECIES","SPAUTHOR","SUBTAXA","SUBTAUTHOR","CROPNAME","ACCENAME","ACQDATE","ORIGCTY","COLLSITE","LATTITUDE","LONGITUDE","ELEVATION","COLLDATE","BREDCODE","SAMPSTAT","ANCEST","COLLSRC","DONORCODE","DONORNUMBER","OTHERNUMB","DUPLSITE","STORAGE ","REMARKS","COLLDESCR","BREDDESCR","DONORDESCR","DUPLDESCR","ACCEURL","MLSSTAT","AEGISSTAT","SMTAINST","SMTANUMB","SMTADATE","SMTACCE","SMTAGENUS","SMTARECIP","SMTAREMARK"
BIH,BIH039,GB00537,BDJ-3-17,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Village Zalon (Nevesinje),431444N,0181833E,883,20080720,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00538,BDJ-3-18,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Village Stepan (Gacko),430428N,0183202E,954,20080720,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00539,BDJ-3-19,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Village Bijela Rudina (Bile?a),425536N,0182454E,665,20080720,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH036,FAS001,M.D.CAM.J.0001,BIH036,Hordeum,vulgare,L., ,,Barley,Je?am,20050622,BIH,Village Bobovica (Trnovo),433828N,0181383E,1345,20050622,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS002,M.D.CAM.J.0002,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20050801,BIH,Village Gubavica (Konjic) ,434624N,0175631E,1112,20050801,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS003,M.D.CAM.J.0003,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20051202,BIH,Village Voljice (Gornji Vakuf),435514N,0173204E,704,20051202,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS004,M.D.CAM.J.0004,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20060626,BIH,Village Argud (Konjic),433108N,0181337E,1004,20060626,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS005,M.D.CAM.J.0005,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20060821,BIH,Village Gornja Ljusina (Bos.Krupa),445641N,0160737E,332,20060821,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS006,M.D.CAM.J.0006,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20060821,BIH,Village ?uhovi?i (Konjic),433821N,0180828E,1336,20060821,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS007,M.D.CAM.J.0007,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20060918,BIH,Village Ra_telica (Had_i?i),434623N,0180318E,722,20060918,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS008,M.D.CAM.J.0008,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20061002,BIH,Village Mratini?i (Kre_evo),43----N,0180711E,625,20061002,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS009,M.D.CAM.J.0009,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20061002,BIH,Village Sivrino selo (Vitez),441603N,0178250E,502,20061002,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS010,M.D.CAM.J.0010,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20061002,BIH,Village ?ani?i (Had_i?i),434643N,0180319E,789,20061002,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS011,M.D.CAM.J.0011,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20070420,BIH,Village Duhri (Kiseljak),43----N,0181230E,510,20070420,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BIH036,FAS012,M.D.CAM.J.0012,BIH036,Hordeum,vulgare,L.,,,Barley,Je?am,20070420,BIH,Village Donji Banjevac (Kakanj),440624N,0180634E,445,20070420,,,,,,,,,,,,,,,,,,,,,,,,
